Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Efficiency,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17,Perks 18
Aurvandil FR6,963710795,"""6917529886696582010""",keep,Legendary,Fusion Rifle,legendaryengram,KineticSlot,Stasis,1800,,Handling,3,Warlock(1818),true,false,5,19,,97,63,95,47,15,0,0,34,0,18,5,31,960,0,0,0,0,0,0,0,0,3,false,0,30,omolon,,,High-Impact Frame*,Arrowhead Brake*,Hammer-Forged Rifling,Enhanced Battery,Particle Repeater*,Subsistence*,Chill Clip*,Quick Access Sling*,Tier 3: Handling*,Omolon Fluid Dynamics*,Kill Tracker*,Crucible Tracker,,,,,,,
Aurvandil FR6,963710795,"""6917529898513215743""",,Legendary,Fusion Rifle,legendaryengram,KineticSlot,Stasis,1800,,Handling,1,Warlock(1818),true,false,5,19,,77,63,95,57,15,0,0,24,0,0,7,9,960,0,0,0,0,0,0,0,0,3,false,0,39,omolon,Nightfall,,High-Impact Frame*,Extended Barrel*,Hammer-Forged Rifling,Ionized Battery*,Projection Fuse,Reconstruction*,Demolitionist*,Lunar Gloom*,Quick Access Sling*,Tier 1: Handling*,Omolon Fluid Dynamics*,Kill Tracker*,Crucible Tracker,,,,,,
Taraxippos,1389546626,"""6917529898149610208""",keep,Legendary,Scout Rifle,events,KineticSlot,Strand,1809,,Range,10,Warlock(1818),false,false,6,20,Guardian Games,84,75,60,40,19,0,0,47,200,69,16,79,0,0,0,0,0,0,0,0,0,13,false,0,501,omolon,"Buddy, Beta, Alpha",,Lightweight Frame*,Arrowhead Brake*,Full Bore,Tactical Mag*,Extended Mag,Outlaw*,Fourth Time's the Charm,Hatchling*,Explosive Payload,Erebos Glance*,Minor Spec*,Masterworked: Range*,Classy Contender*,Omolon Fluid Dynamics,Kill Tracker*,Crucible Tracker,,,
No Survivors,3262192268,"""6917529911292393815""",,Legendary,Submachine Gun,dungeon,Energy,Solar,1810,,Reload Speed,10,Warlock(1818),true,false,6,21,,94,38,22,54,14,0,0,32,750,36,27,62,0,0,0,0,0,0,0,0,0,29,false,0,364,,,,Aggressive Frame*,Corkscrew Rifling*,Polygonal Rifling,Ricochet Rounds*,Flared Magwell,Demolitionist*,Adrenaline Junkie*,Jacarina*,Minor Spec*,Masterworked: Reload Speed*,Restoration Ritual*,Kill Tracker*,Crucible Tracker,,,,,,
Polaris Lance,3413074534,"""6917529405338633592""",,Exotic,Scout Rifle,,Energy,Solar,1810,,,10,Warlock(1818),false,false,1,3,,97,39,67,77,21,0,0,72,150,43,15,24,0,0,0,0,0,0,0,0,0,27,false,0,347,,,,The Perfect Fifth*,Smallbore*,Tactical Mag*,Zen Moment*,Fitted Stock*,IKELOS Field Tuning*,Polaris Lance Catalyst*,Kill Tracker*,Crucible Tracker,,,,,,,,,,
Eriana's Vow,3524313097,"""6917529126526924204""",,Exotic,Hand Cannon,,Energy,Solar,1803,,,,Warlock(1818),false,false,3,8,,100,80,100,100,24,0,0,30,90,24,6,23,0,0,0,0,0,0,0,0,0,9,false,0,248,,Beta,,Looks Can Kill*,Extended Barrel*,Accurized Rounds*,Death at First Glance*,Polymer Grip*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,,
Centrifuse,1912669214,"""6917529903330963848""",,Exotic,Auto Rifle,seasonpass,Energy,Arc,1809,,,,Warlock(1818),false,false,6,21,,90,55,29,47,16,0,0,65,450,40,38,82,0,0,0,0,0,0,0,0,0,25,false,0,143,,,,Overcharge Capacitor*,Corkscrew Rifling*,Appended Mag*,Regenerative Motion*,Hand-Laid Stock*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,,
CALUS Mini-Tool,2490988246,"""6917529852286684365""",,Legendary,Submachine Gun,dcv,Energy,Solar,1810,,Range,10,Warlock(1818),false,false,5,17,,80,49,15,55,14,0,0,56,900,33,37,72,0,0,0,0,0,0,0,0,0,28,true,28,1884,,,,MIDA Synergy*,Corkscrew Rifling*,Accurized Rounds*,Unrelenting*,Incandescent*,Precursor Vex Chrome*,Minor Spec*,*,To Excess*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,"Defenseless, to Be Armed*",Empty Weapon Level Boost Socket*,,,
Harsh Language,1606497639,"""6917529913611349510""",,Legendary,Grenade Launcher,legendaryengram,Energy,Void,1809,,Handling,3,Warlock(1818),true,false,6,20,,100,71,0,0,13,100,83,30,72,75,1,79,0,0,0,0,0,0,0,0,0,3,false,0,26,,Beta,,Wave Frame*,Confined Launch,Countermass*,High-Velocity Rounds*,Implosion Rounds,Envious Assassin*,Destabilizing Rounds*,Precursor Vex Chrome*,Quick Access Sling*,Tier 3: Handling*,Field-Tested*,Kill Tracker*,Crucible Tracker,,,,,,
Tommy's Matchbook,776191470,"""6917529164363591120""",,Exotic,Auto Rifle,,Energy,Solar,1809,,,10,Warlock(1818),true,false,3,10,,64,81,18,53,16,0,0,54,720,0,72,58,0,0,0,0,0,0,0,0,0,36,false,0,1051,,"Solar BH, Nightfall",,Ignition Trigger*,Hammer-Forged Rifling*,Extended Mag*,Heat Sink*,Hand-Laid Stock*,Kill Tracker*,Crucible Tracker,Tommy's Matchbook Catalyst*,,,,,,,,,,,
Gjallarhorn,1363886209,"""6917529555392594143""",,Exotic,Rocket Launcher,30th,Power,Solar,1809,,Magazine,10,Warlock(1818),true,false,4,15,,49,76,0,0,20,100,40,54,15,67,2,76,0,0,0,0,0,0,0,0,0,6,false,0,761,,Beta,,Wolfpack Rounds*,Volatile Launch*,Alloy Casing*,Pack Hunter*,Short-Action Stock*,Kill Tracker*,Crucible Tracker,Gjallarhorn Catalyst*,,,,,,,,,,,
Taipan-4fr,1911060537,"""6917529856486174816""",,Legendary,Linear Fusion Rifle,legendaryengram,Power,Void,1810,,Stability,10,Warlock(1818),true,false,5,18,,99,64,41,50,25,0,0,53,0,31,6,48,533,0,0,0,0,0,0,0,0,9,true,29,293,veist,"Void, Void",,Precision Frame*,Arrowhead Brake*,Enhanced Battery*,Triple Tap*,Focused Fury*,Tarnished Copper*,Boss Spec*,*,Veist Stinger*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Circular Logic,2187717691,"""6917529870797899189""",keep,Legendary,Machine Gun,neomuna,Power,Strand,1809,,Reload Speed,3,Warlock(1818),true,false,6,20,,80,59,41,52,16,0,0,50,450,53,53,58,0,0,0,0,0,0,0,0,0,11,false,0,818,,"Buddy, Beta",,Adaptive Frame*,Full Bore,Smallbore*,Appended Mag,Ricochet Rounds*,Keep Away*,Hatchling*,Major Spec*,Tier 3: Reload Speed*,Nanotech Tracer Rockets*,Kill Tracker*,Crucible Tracker,,,,,,,
Palmyra-B,3489657138,"""6917529873357405967""",keep,Legendary,Rocket Launcher,legendaryengram,Power,Stasis,1807,,Handling,10,Warlock(1818),true,false,5,16,,100,62,0,0,20,32,51,72,15,24,1,63,0,0,0,0,0,0,0,0,0,5,true,26,273,hakke,,,Häkke Precision Frame*,Countermass*,Impact Casing*,Surplus*,Chill Clip*,Crucible Carmine*,Counterbalance Stock*,*,Hakke Breach Armaments*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Terminus Horizon,487205709,"""6917529881324248424""",keep,Legendary,Machine Gun,dungeon,Power,Arc,1806,,Stability,3,Warlock(1818),true,false,5,19,,89,35,70,64,17,0,0,33,360,24,46,53,0,0,0,0,0,0,0,0,0,17,false,0,156,tex-mechanica,Alpha,,High-Impact Frame*,Fluted Barrel*,Hammer-Forged Rifling,Alloy Magazine*,Light Mag,Rapid Hit*,Target Lock*,Counterbalance Stock*,Tier 3: Stability*,Tex Balanced Stock*,Kill Tracker*,Crucible Tracker,,,,,,,
Thin Precipice,4066778670,"""6917529917386309926""",,Legendary,Sword,,Power,Strand,1809,,Impact,2,Warlock(1818),false,false,6,21,,0,0,59,0,0,0,0,0,0,0,63,0,0,0,0,20,100,100,0,40,0,0,false,0,0,,,,Vortex Frame*,Enduring Blade*,Jagged Edge,Tempered Edge,Burst Guard*,Enduring Guard,Relentless Strikes*,Harmony*,Boss Spec*,Tier 2: Impact*,Trials Memento Tracker,Nightfall Memento Tracker,Gambit Memento Tracker,Crucible Memento Tracker,Kill Tracker*,Empty Deepsight Socket*,Empty Memento Socket*,Empty Weapon Level Boost Socket*,Unsated Hunger*
Corsair's Wrath,2714022207,"""6917529264287997111""",,Legendary,Linear Fusion Rifle,wrathborn,Power,Solar,1800,,Stability,4,Warlock(1818),true,false,4,12,,74,66,44,49,25,0,0,32,0,22,5,19,533,0,0,0,0,0,0,0,0,6,false,0,13,,Nightfall,,Precision Frame*,Fluted Barrel,Full Bore*,Enhanced Battery,Liquid Coils*,Outlaw*,Thresh*,Targeting Adjuster*,Tier 4: Stability*,Kill Tracker*,Crucible Tracker,,,,,,,,
Cold Comfort,839786290,"""6917529917414847481""",,Legendary,Rocket Launcher,dungeon,Power,Stasis,1800,,Velocity,3,Warlock(1818),false,false,6,21,,73,39,0,0,20,15,97,18,25,72,1,23,0,0,0,0,0,0,0,0,0,10,false,0,0,,,,Aggressive Frame*,Hard Launch*,Quick Launch,High-Velocity Rounds*,Implosion Rounds,Envious Assassin*,Chill Clip*,Tier 3: Velocity*,Restoration Ritual*,Kill Tracker*,Crucible Tracker,,,,,,,,
Arbalest,2130065553,"""6917529092346274025""",,Exotic,Linear Fusion Rifle,,KineticSlot,Kinetic,1804,,,,Warlock(1818),false,true,2,6,,87,31,41,56,25,0,0,55,0,28,5,20,533,0,0,0,0,0,0,0,0,12,false,0,392,,"Void, Void",,Compounding Force*,Extended Barrel*,Projection Fuse*,Disruption Break*,Composite Stock*,Kill Tracker*,Crucible Tracker,Empty Catalyst Socket*,,,,,,,,,,,
BxR-55 Battler,2708806099,"""6917529917633467168""",,Legendary,Pulse Rifle,30th,Energy,Solar,1810,,Range,10,Warlock(1818),false,true,4,15,,80,85,23,75,18,0,0,69,450,63,35,61,0,0,0,0,0,0,0,0,0,10,true,9,1144,,,,Legacy PR-55 Frame*,Extended Barrel*,Ricochet Rounds*,Outlaw*,Incandescent*,Gilded Smoke*,Minor Spec*,*,Hot Swap*,Kill Tracker*,Crucible Tracker,Shaped Weapon*,Empty Memento Socket*,Empty Deepsight Socket*,Empty Weapon Level Boost Socket*,,,,
Avalanche,66875353,"""6917529555408529012""",,Legendary,Machine Gun,events,Power,Solar,1805,,Range,3,Warlock(1818),true,true,4,12,The Dawning,70,90,41,68,20,0,0,40,450,60,57,37,0,0,0,0,0,0,0,0,0,6,false,0,129,suros,,,Adaptive Frame*,SRO-37 Ocular*,SRO-41 Ocular,High-Caliber Rounds*,Light Mag,Subsistence*,Vorpal Weapon*,Boss Spec*,Tier 3: Range*,Kill Tracker*,Crucible Tracker,,,,,,,,
Pizzicato-22,4100775158,"""6917529915868055503""",,Legendary,Submachine Gun,legendaryengram,KineticSlot,Kinetic,1800,,Reload Speed,1,Titan(1812),false,false,5,18,,100,45,20,48,14,0,0,50,900,51,34,71,0,0,0,0,0,0,0,0,0,22,false,0,0,suros,,,Adaptive Frame*,Arrowhead Brake*,Chambered Compensator,Armor-Piercing Rounds*,Ricochet Rounds,Ensemble*,Osmosis*,Tier 1: Reload Speed*,Suros Synergy*,Kill Tracker*,Crucible Tracker,,,,,,,,
